TNA reference	Context: subseries title	Context: sub subseries title	scope_content	date_text	first_date	last_date	former_reference_department	note_text	closure_status	closure_type	closure_code	piece_id	cat_level
fo 881/1601			ABYSSINIA: Desp. Expedition against Abyssinia. (Col. W. L. Merewether to Lord Stanley) 	Mar. 4, 1867	18670304	18670304		Bound: Abyssinia 4.	O	N	30	4524133	6
fo 881/1602			RUSSIA: Report on certain proceedings at the Brirish Consulate at Odessa (case of Mr Murray) 	18 Dec 1867	18671218	18671218		15 pp	O	N	30	7814112	6
fo 881/1603			GENERAL &amp; UNITED STATES: Report, &amp;c. Consular Conventions. Conventions between various Foreign Powers. (Mr. F. S. Reilly) 	Oct 16 1868	18681016	18681016		Bound: General 12.	O	N	30	4528818	6
fo 881/1604			JAPAN: Desp. Revision of Duties on Silk and Tea. (Sir H. Parkes) 	Sept. 12, 1868	18680912	18680912		Bound: Japan 3.	O	N	30	4530604	6
fo 881/1605			GENERAL: Memo. Extradition. Missing at transfer 	1868	18680101	18681231			O	N	30	4528820	6
fo 881/1606			FRANCE: Memo. Progress of French Industries since conclusion of Treaty of Commerce in 1860. (W. M. B.) 	April 1866	18660401	18660430		Bound: Mema.	O	N	30	4528114	6
fo 881/1607			GENERAL: Memo. British Commerce, Navigation, and Finance, before and since the adoption of Free Trade and Repeal of the Navigation Laws. (B. of T.) 	June 28, 1866	18660628	18660628			O	N	30	4528805	6
fo 881/1608			UNITED STATES: Report from Law Officers on claims arising out of Civil War. Missing at transfer 	Feb 14 1867	18670214	18670214			O	N	30	7814118	6
fo 881/1609			ABYSSINIA: Report. Mission to Abyssinia. (Mr. H. Rassam) 	Sept. 1, 1868	18680901	18680901		Bound: Abyssinia 2.	O	N	30	4524146	6
fo 881/1610			ABYSSINIA: Report. Proceedings in Abyssinia. (Consul C. D. Cameron) 	Sept. 28, 1868	18680928	18680928		Bound: Abyssinia 2.	O	N	30	4524147	6
fo 881/1611			BELGIUM: Returns. Belgian Commerce 	1859-1864	18590101	18641231		Bound: Belgium 3.	O	N	30	4525816	6
fo 881/1612			GENERAL: Corres. Mr. Philip Griffith's Pension. Bound: General 55. Missing at transfer 	1862-1867	18620101	18671231			O	N	30	4528809	6
fo 881/1613			GENERAL: Memo. Foreign Office Agencies 	Jan. 1868	18680101	18680131		Bound: General 4.	O	N	30	4528815	6
fo 881/1614			GREECE: Drafts of Treaty. Ionian Islands 	1863	18630101	18631231		Bound: Ionian Isds. 2.	O	N	30	4530188	6
fo 881/1614X			GREECE: Projet of Treaty. Ionian Islands 	Mar. 3, 1864	18640303	18640303			O	N	30	4530189	6
fo 881/1615			NETHERLANDS: Opinion. Damming-up Eastern Scheldt. Navigation of Antwerp. (M. Hagen) 	Mar. 29, 1867	18670329	18670329		Copy.	O	N	30	4531167	6
fo 881/1616			NETHERLANDS: Corres. Policy of Netherland Government in Eastern Seas, Java, Sumatra, &amp;c. Memo., Aug. 24, 1864. (Mr. A. S. Green) 	1824-1867	18240101	18671231			O	N	30	4531165	6
fo 881/1617			RUSSIA: Analysis. Proposed Alterations in Russian Tariff 	1867	18670101	18671231		Bound: Russia 7.	O	N	30	4532268	6
fo 881/1618			"SPAIN: Further Paper.""Queen Victoria,"" captured by Spanish Revenue Cruiser""Toro."" Part 2. Missing at transfer "	1867 April 9	18670409	18670409			O	N	30	4532748	6
fo 881/1619			TURKEY: Memo. France. Reforms in Turkey 	Feb. 1867	18670201	18670228		Bound: Turkey 23.	O	N	30	4533245	6
fo 881/1620			"UNITED STATES: Memo.""Alabama,"" and other Claims. (Mr. C. S. A. Abbott). Missing at transfer "	Oct. 6, 1866	18661006	18661006			O	N	30	4534639	6
fo 881/1621			GENERAL: Proposed treaty on naturalisation. Missing at transfer 	June 1868	18680601	18680630			O	N	30	7814119	6
fo 881/1622			GENERAL: Memo. Proposed Changes in Consular Service. Estimate 1869-1870. Missing at transfer 	1869-1870	18690101	18701231			O	N	30	4528841	6
fo 881/1623			CHINA: Corres. Attack on British Protestant Missionaries at Yangchow. Bound: China 5. Missing at transfer 	1868-1869	18680101	18691231			O	N	30	4526365	6
fo 881/1624			MADAGASCAR: O. in C. Consular Jurisdiction 	Feb. 4, 1869	18690204	18690204			O	N	30	4530846	6
fo 881/1625			SPAIN: O. in C. Seaman Deserters 	Jan. 23, 1860.	18600123	18600123			O	N	30	4532738	6
